;Place;Date;Temperature;Humidity
113;DEUSTU;15/03/2020 7:00;7,40;83,80
114;DEUSTU;15/03/2020 7:00;7,20;84,50
115;DEUSTU;15/03/2020 7:00;7,00;85,30
116;DEUSTU;15/03/2020 7:00;7,00;85,90
117;DEUSTU;15/03/2020 7:00;6,80;86,20
118;DEUSTU;15/03/2020 7:00;6,90;86,20
119;DEUSTU;15/03/2020 7:00;7,10;85,60
120;DEUSTU;15/03/2020 7:00;7,10;85,00
121;DEUSTU;15/03/2020 7:00;7,10;84,80
122;DEUSTU;15/03/2020 7:00;7,00;84,30
123;DEUSTU;15/03/2020 7:00;7,10;82,50
124;DEUSTU;15/03/2020 7:00;7,00;81,70
125;DEUSTU;15/03/2020 7:00;7,00;80,20
126;DEUSTU;15/03/2020 7:00;7,00;79,19
127;DEUSTU;15/03/2020 7:00;6,90;79,18
128;DEUSTU;15/03/2020 7:00;6,80;79,30
129;DEUSTU;15/03/2020 7:00;6,60;79,41
130;DEUSTU;15/03/2020 7:00;6,40;80,20
131;DEUSTU;15/03/2020 7:00;6,40;79,62
132;DEUSTU;15/03/2020 7:00;6,20;78,84
133;DEUSTU;15/03/2020 7:00;6,10;78,98
134;DEUSTU;15/03/2020 7:00;6,10;79,98
135;DEUSTU;15/03/2020 7:00;6,10;79,59
136;DEUSTU;15/03/2020 7:00;6,10;79,08
137;DEUSTU;15/03/2020 7:00;6,00;79,16
138;DEUSTU;15/03/2020 7:00;5,70;80,30
139;DEUSTU;15/03/2020 7:00;5,50;83,30
140;DEUSTU;15/03/2020 7:00;5,40;81,70
141;DEUSTU;15/03/2020 7:00;5,50;80,60
142;DEUSTU;15/03/2020 7:00;5,60;79,22
143;DEUSTU;15/03/2020 7:00;5,50;77,63
144;DEUSTU;15/03/2020 7:00;5,30;78,97
145;DEUSTU;15/03/2020 7:00;5,10;80,80
146;DEUSTU;15/03/2020 7:00;5,00;80,90
147;DEUSTU;15/03/2020 7:00;5,00;80,60
148;DEUSTU;15/03/2020 7:00;4,90;80,40
149;DEUSTU;15/03/2020 7:00;4,90;80,00
150;DEUSTU;15/03/2020 7:00;4,90;80,30
151;DEUSTU;15/03/2020 7:00;5,10;78,94
152;DEUSTU;15/03/2020 7:00;5,00;78,81
153;DEUSTU;15/03/2020 7:00;4,90;79,13
154;DEUSTU;15/03/2020 7:00;4,80;79,64
155;DEUSTU;15/03/2020 7:00;4,60;81,40
156;DEUSTU;15/03/2020 7:00;4,40;81,60
157;DEUSTU;15/03/2020 7:00;4,30;81,70
158;DEUSTU;15/03/2020 7:00;4,40;81,70
159;DEUSTU;15/03/2020 7:00;4,40;81,50
160;DEUSTU;15/03/2020 7:00;4,30;81,50
161;DEUSTU;15/03/2020 7:00;4,10;81,80
162;DEUSTU;15/03/2020 7:00;4,00;81,60
163;DEUSTU;15/03/2020 7:00;4,00;81,30
164;DEUSTU;15/03/2020 7:00;4,20;79,73
165;DEUSTU;15/03/2020 7:00;4,10;79,90
166;DEUSTU;15/03/2020 7:00;4,10;79,39
167;DEUSTU;15/03/2020 7:00;4,10;79,98
168;DEUSTU;15/03/2020 7:00;4,50;76,75
169;DEUSTU;15/03/2020 7:00;4,50;76,04
170;DEUSTU;15/03/2020 7:00;4,70;74,54
171;DEUSTU;15/03/2020 7:00;4,60;75,74
172;DEUSTU;15/03/2020 7:00;4,10;78,29
173;DEUSTU;15/03/2020 7:00;4,10;77,75
174;DEUSTU;15/03/2020 7:00;4,50;74,42
175;DEUSTU;15/03/2020 7:00;4,40;74,32
176;DEUSTU;15/03/2020 7:00;4,40;74,57
177;DEUSTU;15/03/2020 7:00;4,50;72,85
178;DEUSTU;15/03/2020 7:00;4,60;72,28
179;DEUSTU;15/03/2020 7:00;4,60;72,53
180;DEUSTU;15/03/2020 7:00;4,60;72,83
181;DEUSTU;15/03/2020 7:00;4,90;69,45
182;DEUSTU;15/03/2020 7:00;4,80;70,38
183;DEUSTU;15/03/2020 7:00;5,10;66,80
184;DEUSTU;15/03/2020 7:00;5,30;65,73
185;DEUSTU;15/03/2020 7:00;5,50;65,01
186;DEUSTU;15/03/2020 7:00;5,70;63,12
187;DEUSTU;15/03/2020 7:00;5,90;62,20
188;DEUSTU;15/03/2020 7:00;5,80;62,74
189;DEUSTU;15/03/2020 7:00;5,70;62,85
190;DEUSTU;15/03/2020 7:00;5,60;63,48
191;DEUSTU;15/03/2020 7:00;5,40;64,24
192;DEUSTU;15/03/2020 7:00;5,60;62,33
193;DEUSTU;15/03/2020 7:00;5,70;61,34
194;DEUSTU;15/03/2020 7:00;6,00;60,46
195;DEUSTU;15/03/2020 7:00;6,40;58,46
196;DEUSTU;15/03/2020 7:00;6,70;58,06
197;DEUSTU;15/03/2020 7:00;7,10;55,96
198;DEUSTU;15/03/2020 7:00;7,50;54,46
199;DEUSTU;15/03/2020 7:00;6,80;59,21
200;DEUSTU;15/03/2020 7:00;6,90;58,70
201;DEUSTU;15/03/2020 7:00;7,40;56,03
202;DEUSTU;15/03/2020 7:00;8,30;52,40
203;DEUSTU;15/03/2020 7:00;8,40;51,64
204;DEUSTU;15/03/2020 7:00;8,70;51,59
205;DEUSTU;15/03/2020 7:00;8,70;52,06
206;DEUSTU;15/03/2020 7:00;9,10;50,31
207;DEUSTU;15/03/2020 7:00;9,30;50,81
208;DEUSTU;15/03/2020 7:00;9,50;50,85
209;DEUSTU;15/03/2020 7:00;10,10;48,43
