,Place,Date,Temperature,Humidity
99,DEUSTU,2020-03-15 07:00:10,"11,2","70,12"
100,DEUSTU,2020-03-15 07:00:10,"10,9","70,83"
101,DEUSTU,2020-03-15 07:00:10,"10,7","72,08"
102,DEUSTU,2020-03-15 07:00:10,"10,4","73,60"
103,DEUSTU,2020-03-15 07:00:10,"10,0","75,03"
104,DEUSTU,2020-03-15 07:00:10,"9,7","76,19"
105,DEUSTU,2020-03-15 07:00:10,"9,3","77,03"
106,DEUSTU,2020-03-15 07:00:10,"9,0","78,14"
107,DEUSTU,2020-03-15 07:00:10,"8,6","79,36"
108,DEUSTU,2020-03-15 07:00:10,"8,5","79,11"
109,DEUSTU,2020-03-15 07:00:10,"8,3","79,79"
110,DEUSTU,2020-03-15 07:00:10,"8,0","81,10"
111,DEUSTU,2020-03-15 07:00:10,"7,8","82,20"
112,DEUSTU,2020-03-15 07:00:10,"7,6","83,00"
113,DEUSTU,2020-03-15 07:00:10,"7,4","83,80"
114,DEUSTU,2020-03-15 07:00:10,"7,2","84,50"
115,DEUSTU,2020-03-15 07:00:10,"7,0","85,30"
116,DEUSTU,2020-03-15 07:00:10,"7,0","85,90"
117,DEUSTU,2020-03-15 07:00:10,"6,8","86,20"
118,DEUSTU,2020-03-15 07:00:10,"6,9","86,20"
119,DEUSTU,2020-03-15 07:00:10,"7,1","85,60"
120,DEUSTU,2020-03-15 07:00:10,"7,1","85,00"
121,DEUSTU,2020-03-15 07:00:10,"7,1","84,80"
122,DEUSTU,2020-03-15 07:00:10,"7,0","84,30"
123,DEUSTU,2020-03-15 07:00:10,"7,1","82,50"
124,DEUSTU,2020-03-15 07:00:10,"7,0","81,70"
125,DEUSTU,2020-03-15 07:00:10,"7,0","80,20"
126,DEUSTU,2020-03-15 07:00:10,"7,0","79,19"
127,DEUSTU,2020-03-15 07:00:10,"6,9","79,18"
128,DEUSTU,2020-03-15 07:00:10,"6,8","79,30"
129,DEUSTU,2020-03-15 07:00:10,"6,6","79,41"
130,DEUSTU,2020-03-15 07:00:10,"6,4","80,20"
131,DEUSTU,2020-03-15 07:00:10,"6,4","79,62"
132,DEUSTU,2020-03-15 07:00:10,"6,2","78,84"
133,DEUSTU,2020-03-15 07:00:10,"6,1","78,98"
134,DEUSTU,2020-03-15 07:00:10,"6,1","79,98"
135,DEUSTU,2020-03-15 07:00:10,"6,1","79,59"
136,DEUSTU,2020-03-15 07:00:10,"6,1","79,08"
137,DEUSTU,2020-03-15 07:00:10,"6,0","79,16"
138,DEUSTU,2020-03-15 07:00:10,"5,7","80,30"
139,DEUSTU,2020-03-15 07:00:10,"5,5","83,30"
140,DEUSTU,2020-03-15 07:00:10,"5,4","81,70"
141,DEUSTU,2020-03-15 07:00:10,"5,5","80,60"
142,DEUSTU,2020-03-15 07:00:10,"5,6","79,22"
143,DEUSTU,2020-03-15 07:00:10,"5,5","77,63"
144,DEUSTU,2020-03-15 07:00:10,"5,3","78,97"
145,DEUSTU,2020-03-15 07:00:10,"5,1","80,80"
146,DEUSTU,2020-03-15 07:00:10,"5,0","80,90"
147,DEUSTU,2020-03-15 07:00:10,"5,0","80,60"
148,DEUSTU,2020-03-15 07:00:10,"4,9","80,40"
149,DEUSTU,2020-03-15 07:00:10,"4,9","80,00"
150,DEUSTU,2020-03-15 07:00:10,"4,9","80,30"
151,DEUSTU,2020-03-15 07:00:10,"5,1","78,94"
152,DEUSTU,2020-03-15 07:00:10,"5,0","78,81"
153,DEUSTU,2020-03-15 07:00:10,"4,9","79,13"
154,DEUSTU,2020-03-15 07:00:10,"4,8","79,64"
155,DEUSTU,2020-03-15 07:00:10,"4,6","81,40"
156,DEUSTU,2020-03-15 07:00:10,"4,4","81,60"
157,DEUSTU,2020-03-15 07:00:10,"4,3","81,70"
158,DEUSTU,2020-03-15 07:00:10,"4,4","81,70"
159,DEUSTU,2020-03-15 07:00:10,"4,4","81,50"
160,DEUSTU,2020-03-15 07:00:10,"4,3","81,50"
161,DEUSTU,2020-03-15 07:00:10,"4,1","81,80"
162,DEUSTU,2020-03-15 07:00:10,"4,0","81,60"
163,DEUSTU,2020-03-15 07:00:10,"4,0","81,30"
164,DEUSTU,2020-03-15 07:00:10,"4,2","79,73"
165,DEUSTU,2020-03-15 07:00:10,"4,1","79,90"
166,DEUSTU,2020-03-15 07:00:10,"4,1","79,39"
167,DEUSTU,2020-03-15 07:00:10,"4,1","79,98"
168,DEUSTU,2020-03-15 07:00:10,"4,5","76,75"
169,DEUSTU,2020-03-15 07:00:10,"4,5","76,04"
170,DEUSTU,2020-03-15 07:00:10,"4,7","74,54"
171,DEUSTU,2020-03-15 07:00:10,"4,6","75,74"
172,DEUSTU,2020-03-15 07:00:10,"4,1","78,29"
173,DEUSTU,2020-03-15 07:00:10,"4,1","77,75"
174,DEUSTU,2020-03-15 07:00:10,"4,5","74,42"
175,DEUSTU,2020-03-15 07:00:10,"4,4","74,32"
